keyword,pc,mobile,total,comp_label,competition,ad_depth
ESIM,6800,24800,31600,높음,0.9,10
아파트실거래가,15600,15800,31400,높음,0.9,10
트라이크,3340,27900,31240,중간,0.6,8
물걸레청소기,5170,26000,31170,중간,0.6,8
PXG,7650,23500,31150,높음,0.9,10
세면대,6730,24400,31130,중간,0.6,8
주택담보대출금리,10000,21000,31000,높음,0.9,10
BMW전기차,4700,26300,31000,높음,0.9,10
환경부전기차카드,8170,22600,30770,낮음,0.3,2
소상공인대출,6670,24000,30670,높음,0.9,10
근로기준법,24500,6120,30620,중간,0.6,3
종합소득세,7400,23200,30600,높음,0.9,10
화재보험,6180,24300,30480,높음,0.9,10
신발,5160,25300,30460,높음,0.9,10
폐렴증상,2580,27700,30280,높음,0.9,10
안드로이드오토,4250,26000,30250,중간,0.6,8
S&P500지수,3140,27100,30240,중간,0.6,8
대장내시경,3640,26600,30240,높음,0.9,10
퇴직연금,10300,19900,30200,높음,0.9,10
캠핑용품,6130,24000,30130,높음,0.9,8
A4용지,16000,14100,30100,높음,0.9,10
미니제습기,5670,24400,30070,중간,0.6,8
가습기,5650,24400,30050,중간,0.6,8
와이파이공유기,5090,24800,29890,중간,0.6,8
운전면허필기,4450,25400,29850,높음,0.9,10
퇴직연금DC형,7970,21800,29770,높음,0.9,10
세무사,7370,22300,29670,높음,0.9,10
등산화,8170,21500,29670,중간,0.6,8
운전면허기능시험,2460,27100,29560,높음,0.9,10
기계식키보드,15000,14500,29500,중간,0.6,8
QLD주가,3690,25800,29490,중간,0.6,3
체외충격파치료,3460,26000,29460,높음,0.9,10
BLDC선풍기,6220,23200,29420,중간,0.6,8
정기예금,7700,21700,29400,낮음,0.3,2
헬리오시티,6490,22500,28990,높음,0.9,10
연차계산기,18200,10700,28900,높음,0.9,9
족저근막염슬리퍼,4400,24500,28900,높음,0.9,10
부가가치세신고기간,9750,19100,28850,높음,0.9,10
미니세탁기,4040,24800,28840,중간,0.6,8
카드,8220,20600,28820,높음,0.9,10
삼성공기청정기,4200,24600,28800,높음,0.9,7
모기장,5190,23600,28790,중간,0.6,7
APPLE,7430,21200,28630,높음,0.9,10
