keyword,volume,comp,competition,ad_depth,tier,blog,score
근로장려금조건,2130,중간,0.6,3,3,T1,159.8
전기자전거배터리,2130,중간,0.6,8,3,T2,159.8
여름등산화,2100,중간,0.6,8,3,T2,159.5
잉글레시나유모차,2100,중간,0.6,8,3,T2,159.5
안양자동차검사소,2100,중간,0.6,7,3,T1,159.5
여성등산화,2090,중간,0.6,8,3,T2,159.4
AOC모니터,2070,중간,0.6,5,3,T2,159.2
트위터자전거,2060,중간,0.6,8,3,T2,159.1
빙수,91660,중간,0.6,7,2,T1,158.8
자동차블랙박스,2020,중간,0.6,8,3,T2,158.7
침대,90400,중간,0.6,8,2,T1,158.6
손없는날,88900,중간,0.6,8,2,T1,158.4
서수원자동차검사소,1990,중간,0.6,6,3,T1,158.3
27인치QHD모니터,1990,중간,0.6,7,3,T2,158.3
무선마우스추천,1990,중간,0.6,8,3,T2,158.3
삼성제습기,87500,중간,0.6,8,2,T2,158.1
43인치모니터,1970,중간,0.6,8,3,T2,158.1
미국금리,85500,중간,0.6,6,2,T1,157.8
유아세발자전거,1940,중간,0.6,8,3,T2,157.8
LG모니터32인치,1930,중간,0.6,8,3,T2,157.7
삼성32인치모니터,1930,중간,0.6,8,3,T2,157.7
수동커피머신,1930,중간,0.6,8,3,T2,157.7
무공해차누리집,84000,중간,0.6,1,2,T1,157.6
홀레분유,1900,중간,0.6,4,3,T2,157.4
PC모니터,1900,중간,0.6,8,3,T2,157.4
32인치4K모니터,1890,중간,0.6,8,3,T2,157.3
실링팬,81900,중간,0.6,8,2,T1,157.2
손선풍기,81000,중간,0.6,8,2,T2,157.1
모바일신분증발급,79180,중간,0.6,1,2,T1,156.8
노트북키보드,1840,중간,0.6,8,3,T2,156.7
유선이어폰추천,1830,중간,0.6,8,3,T2,156.6
써큘레이터,77000,중간,0.6,8,2,T1,156.4
144HZ모니터,1800,중간,0.6,8,3,T2,156.3
트레이딩뷰,75900,중간,0.6,7,2,T1,156.2
주담대,75500,중간,0.6,8,2,T1,156.1
분유갈아타기,1790,중간,0.6,8,3,T2,156.1
LG전자로봇청소기,1780,중간,0.6,8,3,T2,156.0
애플모니터,1780,중간,0.6,8,3,T2,156.0
대형견유모차,1760,중간,0.6,8,3,T2,155.8
요양급여신청서,1750,중간,0.6,3,3,T1,155.7
40인치모니터,1730,중간,0.6,8,3,T2,155.4
LG32인치모니터,1710,중간,0.6,8,3,T2,155.2
신일서큘레이터,70480,중간,0.6,8,2,T2,155.1
냉각손선풍기,69600,중간,0.6,7,2,T2,155.0
골전도이어폰,69400,중간,0.6,8,2,T1,154.9
